"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Jonathan Taylor",IND,"1","2","1.2","0.4","0"
"2",1,"Christian McCaffrey",CAR,"1","5","2.0","0.7","+1"
"3",1,"Austin Ekeler",LAC,"2","5","3.4","0.7","-1"
"4",2,"Dalvin Cook",MIN,"3","8","4.7","1.3","+1"
"5",2,"Derrick Henry",TEN,"3","8","5.2","1.5","-1"
"6",2,"Najee Harris",PIT,"3","11","6.3","1.9","0"
"7",2,"Joe Mixon",CIN,"3","11","7.2","1.6","0"
"8",2,"D'Andre Swift",DET,"5","11","8.0","1.4","0"
"9",3,"Saquon Barkley",NYG,"4","13","9.8","2.3","+4"
"10",3,"Aaron Jones",GB,"6","14","10.7","1.9","0"
"11",3,"Alvin Kamara",NO,"7","16","10.8","2.2","+1"
"12",3,"Javonte Williams",DEN,"7","16","12.3","2.3","-1"
"13",3,"Nick Chubb",CLE,"7","16","12.3","2.2","-4"
"14",3,"Leonard Fournette",TB,"8","16","12.3","1.8","0"
"15",3,"James Conner",ARI,"12","22","15.8","2.3","+1"
"16",4,"Ezekiel Elliott",DAL,"12","23","16.9","2.3","+1"
"17",4,"Breece Hall",NYJ,"15","26","18.1","2.6","+2"
"18",4,"Travis Etienne Jr.",JAC,"14","27","18.6","3.0","+3"
"19",4,"Cam Akers",LAR,"13","25","19.0","2.6","-4"
"20",4,"David Montgomery",CHI,"16","25","19.7","2.3","-2"
"21",4,"J.K. Dobbins",BAL,"18","26","21.7","2.1","+6"
"22",4,"AJ Dillon",GB,"18","28","22.2","2.4","+1"
"23",4,"Elijah Mitchell",SF,"18","27","22.3","2.3","-3"
"24",4,"Josh Jacobs",LV,"20","31","23.9","2.8","-2"
"25",5,"Clyde Edwards-Helaire",KC,"23","35","27.4","2.6","+1"
"26",5,"Antonio Gibson",WAS,"16","41","27.4","5.7","-1"
"27",5,"Chase Edmonds",MIA,"21","36","28.7","3.9","+5"
"28",5,"Miles Sanders",PHI,"21","37","28.8","3.5","+1"
"29",5,"Damien Harris",NE,"23","36","29.0","3.1","-5"
"30",5,"Kareem Hunt",CLE,"26","36","30.6","2.9","+3"
"31",5,"Rashaad Penny",SEA,"21","38","30.8","3.7","0"
"32",5,"Tony Pollard",DAL,"23","39","31.7","3.9","+2"
"33",5,"Rhamondre Stevenson",NE,"24","39","31.8","4.0","+2"
"34",5,"Cordarrelle Patterson",ATL,"26","44","33.7","4.3","-4"
"35",5,"Devin Singletary",BUF,"28","45","34.0","3.7","-7"
"36",5,"Melvin Gordon III",DEN,"26","40","35.5","3.0","+1"
"37",5,"Ken Walker III",SEA,"28","45","37.4","3.8","-1"
"38",5,"Dameon Pierce",HOU,"24","55","38.0","7.5","+7"
"39",5,"James Cook",BUF,"29","45","38.5","3.5","0"
"40",6,"Michael Carter",NYJ,"27","48","41.0","3.9","0"
"41",6,"Darrell Henderson Jr.",LAR,"37","51","41.4","3.2","0"
"42",6,"James Robinson",JAC,"33","64","44.1","5.3","+2"
"43",6,"Nyheim Hines",IND,"38","56","44.7","4.2","+4"
"44",6,"Alexander Mattison",MIN,"40","55","45.2","4.0","-1"
"45",6,"Kenneth Gainwell",PHI,"37","56","45.6","4.8","+6"
"46",6,"Tyler Allgeier",ATL,"41","64","49.0","5.0","+13"
"47",6,"Jamaal Williams",DET,"41","59","49.3","4.0","+8"
"48",6,"Khalil Herbert",CHI,"40","59","49.4","4.5","+9"
"49",6,"J.D. McKissic",WAS,"43","74","50.9","5.8","+4"
"50",6,"Brian Robinson Jr.",WAS,"36","90","51.0","10.8","-12"
"51",6,"Rachaad White",TB,"41","65","52.0","6.2","-3"
"52",6,"Isaiah Spiller",LAC,"40","70","52.7","6.7","-6"
"53",6,"Raheem Mostert",MIA,"46","67","53.6","5.6","-3"
"54",7,"Marlon Mack",HOU,"47","80","57.4","7.1","-5"
"55",7,"Mark Ingram II",NO,"52","81","59.2","6.2","+1"
"56",7,"Zamir White",LV,"49","92","60.7","8.7","+6"
"57",7,"D'Onta Foreman",CAR,"49","79","60.8","5.9","+4"
"58",7,"Darrel Williams",ARI,"46","93","61.0","10.6","0"
"59",7,"Sony Michel",MIA,"42","77","57.3","7.2","-5"
"60",7,"Gus Edwards",BAL,"47","92","61.9","9.9","0"
"61",7,"Ronald Jones II",KC,"40","113","62.4","17.3","-19"
"62",7,"Tyrion Davis-Price",SF,"46","98","65.7","11.3","+5"
"63",7,"Isiah Pacheco",KC,"38","105","59.8","17.1","-11"
"64",7,"Samaje Perine",CIN,"53","86","67.8","7.9","+16"
"65",7,"Jeff Wilson Jr.",SF,"56","88","71.2","7.3","0"
"66",7,"D'Ernest Johnson",CLE,"59","107","69.5","8.0","+2"
"67",7,"Boston Scott",PHI,"58","92","67.5","8.0","+6"
"68",7,"Jerick McKinnon",KC,"57","95","70.8","6.8","+25"
"69",7,"Chuba Hubbard",CAR,"50","89","70.8","8.4","+16"
"70",7,"Matt Breida",NYG,"64","85","75.5","5.2","+6"
"71",7,"Damien Williams",ATL,"54","90","67.7","7.0","-2"
"72",7,"Rex Burkhead",HOU,"55","84","72.4","5.9","+29"
"73",7,"Mike Davis",BAL,"57","104","74.2","9.4","+1"
"74",8,"Trey Sermon",SF,"54","106","73.9","10.0","+5"
"75",8,"Zack Moss",BUF,"58","86","74.7","7.3","+17"
"76",8,"Eno Benjamin",ARI,"58","97","75.4","11.5","+15"
"77",8,"Kenyan Drake",FA,"59","112","73.1","14.6","-14"
"78",8,"Chris Evans",CIN,"50","94","74.1","10.9","+12"
"79",8,"Hassan Haskins",TEN,"61","97","78.0","9.2","-15"
"80",8,"Joshua Kelley",LAC,"61","104","80.3","9.5","+30"
"81",8,"Ke'Shawn Vaughn",TB,"70","95","82.2","5.7","-4"
"82",8,"Myles Gaskin",MIA,"60","111","79.5","13.2","-16"
"83",8,"Phillip Lindsay",IND,"63","97","81.5","7.3","-5"
"84",8,"Kyren Williams",LAR,"76","103","86.2","6.6","-13"
"85",8,"Giovani Bernard",TB,"64","101","85.7","8.0","+18"
"86",8,"Pierre Strong Jr.",NE,"71","143","87.8","13.0","-2"
"87",8,"Dontrell Hilliard",TEN,"52","115","77.1","15.7","-6"
"88",8,"Ty Johnson",NYJ,"61","151","90.4","18.0","+19"
"89",9,"Tevin Coleman",NYJ,"86","111","94.2","5.8","+17"
"90",9,"Tyler Badie",BAL,"74","100","86.7","7.6","-15"
"91",9,"Duke Johnson Jr.",BUF,"84","108","93.2","8.0","-5"
"92",9,"Jerome Ford",CLE,"72","138","94.8","14.3","-"
"93",9,"Darrynton Evans",CHI,"77","120","92.5","11.8","-"
"94",9,"Snoop Conner",JAC,"71","103","88.1","9.1","-7"
"95",9,"Justin Jackson",DET,"70","124","91.3","12.0","-"
"96",9,"Ameer Abdullah",LV,"58","108","74.7","14.7","-26"
"97",9,"Jaylen Warren",PIT,"57","113","83.7","12.3","+19"
"98",9,"Salvon Ahmed",MIA,"81","151","98.4","18.7","-"
"99",9,"DeeJay Dallas",SEA,"72","109","93.6","10.1","+12"
"100",9,"Jaret Patterson",WAS,"84","144","100.3","13.4","0"
"101",9,"Ty Montgomery",NE,"61","93","78.3","8.9","+14"
"102",9,"Keaontay Ingram",ARI,"81","107","92.9","7.0","-30"
"103",9,"Malcolm Brown",FA,"78","126","101.2","11.9","-"
"104",9,"Benny Snell Jr.",PIT,"89","110","97.8","5.5","+5"
"105",9,"Kene Nwangwu",MIN,"69","125","98.1","14.9","+8"
"106",9,"Travis Homer",SEA,"71","96","86.5","8.3","-"
"107",9,"Devontae Booker",FA,"92","112","99.5","5.6","-12"
"108",9,"Derrick Gore",KC,"91","117","101.5","7.1","-4"
"109",9,"David Johnson",FA,"80","113","97.3","9.1","-21"
"110",9,"Latavius Murray",FA,"91","113","100.3","7.4","-12"
"111",9,"Anthony McFarland Jr.",PIT,"83","115","98.7","10.1","-12"
"112",9,"Abram Smith",NO,"79","118","99.7","12.2","-30"
"113",9,"Trestan Ebner",CHI,"73","119","93.1","14.8","-"
"114",10,"Tony Jones Jr.",NO,"92","120","103.5","8.8","-31"
"115",10,"Craig Reynolds",DET,"84","98","92.6","4.7","-"
"116",10,"Devonta Freeman",FA,"92","114","102.6","7.1","-20"
"117",10,"Brandon Bolden",LV,"72","129","104.4","17.9","-12"
"118",10,"Kyle Juszczyk",SF,"82","101","89.2","6.8","-4"
"119",10,"Ty Chandler",MIN,"91","141","110.1","16.9","-"
"120",10,"Mike Boone",DEN,"104","121","111.3","5.6","-"
"121",10,"Kevin Harris",NE,"86","100","94.6","4.8","-"
"122",10,"JaMycal Hasty",SF,"97","123","107.3","9.6","-"
"123",10,"Jeremy McNichols",PIT,"89","114","102.8","8.2","-"
"124",10,"Demetric Felton Jr.",CLE,"98","113","103.4","5.5","-"
"125",10,"Wayne Gallman Jr.",FA,"98","112","103.8","5.6","-23"
"126",10,"Kylin Hill",GB,"100","132","114.5","13.2","-"
"127",10,"Justice Hill",BAL,"96","124","112.8","10.7","-"
"128",10,"Ryquell Armstead",JAC,"81","140","116.8","21.7","-"
"129",10,"Larry Rountree III",LAC,"101","139","117.6","13.2","-"
"130",10,"Jake Funk",LAR,"109","128","118.4","7.1","-36"
"131",10,"Rico Dowdle",DAL,"104","152","118.6","17.4","-"
"132",10,"Kennedy Brooks",PHI,"109","135","120.2","10.4","-"
"133",10,"Jermar Jefferson",DET,"112","146","120.4","13.0","-"
"134",10,"Tyler Goodson",GB,"96","102","98.7","2.5","-"
"135",10,"Gary Brightwell",NYG,"78","114","100.0","15.8","-"
"136",10,"Jordan Howard",FA,"87","115","103.0","11.8","-39"
"137",10,"Jordan Mason",SF,"85","138","107.3","22.4","-"
"138",10,"Qadree Ollison",ATL,"111","137","120.0","10.4","-26"
"139",10,"Dare Ogunbowale",HOU,"106","116","110.7","4.1","-"
"140",10,"Patrick Ricard",BAL,"106","143","122.5","13.8","-"
"141",10,"Julius Chestnut",TEN,"91","145","111.7","23.8","-"
"142",10,"Jonathan Ward",ARI,"89","128","112.7","17.0","-"
"143",10,"Trayveon Williams",CIN,"109","141","123.5","11.4","-"
"144",10,"Jashaun Corbin",NYG,"94","131","114.0","15.3","-"
"145",10,"Carlos Hyde",FA,"111","118","114.3","2.9","-"
"146",11,"Deon Jackson",IND,"102","154","128.3","18.7","-"
"147",11,"C.J. Ham",MIN,"122","142","128.5","8.0","-"
"148",11,"Royce Freeman",HOU,"115","124","120.7","4.0","-"
"149",11,"Jerrion Ealy",KC,"94","115","104.5","10.5","-60"
"150",11,"J.J. Taylor",NE,"112","132","121.7","8.2","-"
"151",11,"Jason Huntley",PHI,"116","134","125.0","7.3","-"
"152",11,"Patrick Taylor Jr.",GB,"119","147","130.7","11.9","-"
"153",11,"Keith Smith",ATL,"119","127","123.0","4.0","-"
"154",11,"Zonovan Knight",NYJ,"105","152","135.7","21.7","-"
"155",11,"Godwin Igwebuike",DET,"120","150","138.3","13.1","-"
"156",11,"Jakob Johnson",LV,"117","155","136.0","19.0","-"
"157",11,"Antonio Williams",NYG,"129","148","138.5","9.5","-"
