"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Travis Kelce",KC,"1","2","1.0","0.2","0"
"2",1,"Mark Andrews",BAL,"2","3","2.1","0.2","0"
"3",1,"Kyle Pitts",ATL,"2","5","3.1","0.5","0"
"4",2,"George Kittle",SF,"4","6","4.6","0.6","0"
"5",2,"Darren Waller",LV,"3","7","4.8","0.8","0"
"6",2,"Dalton Schultz",DAL,"3","11","6.3","1.5","0"
"7",2,"Dallas Goedert",PHI,"5","9","7.2","1.0","0"
"8",2,"T.J. Hockenson",DET,"6","10","7.5","1.1","0"
"9",3,"Zach Ertz",ARI,"7","13","9.5","1.2","0"
"10",3,"Dawson Knox",BUF,"7","15","10.3","1.7","0"
"11",3,"Pat Freiermuth",PIT,"9","15","11.9","1.6","+1"
"12",3,"Cole Kmet",CHI,"9","20","12.4","2.5","+2"
"13",3,"Hunter Henry",NE,"12","18","14.3","1.6","+6"
"14",3,"Mike Gesicki",MIA,"10","21","15.2","2.9","-3"
"15",3,"Irv Smith Jr.",MIN,"11","22","15.8","2.8","+2"
"16",4,"Albert Okwuegbunam",DEN,"11","31","17.8","4.8","-3"
"17",4,"David Njoku",CLE,"10","25","17.9","3.4","-2"
"18",4,"Noah Fant",SEA,"14","23","18.2","2.4","+3"
"19",4,"Robert Tonyan",GB,"13","29","19.6","4.0","+1"
"20",4,"Gerald Everett",LAC,"14","28","19.7","2.9","+3"
"21",4,"Tyler Higbee",LAR,"15","24","20.2","2.9","+4"
"22",4,"Evan Engram",JAC,"13","27","20.7","3.4","-4"
"23",4,"Austin Hooper",TEN,"13","27","22.4","3.5","+5"
"24",4,"Hayden Hurst",CIN,"17","32","23.5","3.3","0"
"25",4,"Logan Thomas",WAS,"16","36","24.1","4.0","+6"
"26",4,"Brevin Jordan",HOU,"20","40","27.1","4.5","+6"
"27",4,"Mo Alie-Cox",IND,"22","37","29.0","4.1","+13"
"28",4,"Jonnu Smith",NE,"25","35","30.1","2.8","+1"
"29",5,"Adam Trautman",NO,"26","59","31.6","6.3","+4"
"30",5,"C.J. Uzomah",NYJ,"26","51","34.6","4.8","-3"
"31",5,"Cameron Brate",TB,"23","42","29.8","4.5","-15"
"32",5,"Dan Arnold",JAC,"27","42","34.2","4.4","+12"
"33",5,"Kyle Rudolph",TB,"23","53","34.6","6.9","-7"
"34",5,"O.J. Howard",BUF,"30","61","39.4","8.2","+4"
"35",5,"Trey McBride",ARI,"31","46","37.1","4.6","-1"
"36",5,"Greg Dulcich",DEN,"24","46","34.2","5.8","+6"
"37",6,"Tommy Tremble",CAR,"29","47","35.0","5.1","+6"
"38",6,"Daniel Bellinger",NYG,"27","48","33.4","5.1","-1"
"39",6,"Tyler Conklin",NYJ,"29","41","34.0","3.8","+2"
"40",6,"Harrison Bryant",CLE,"27","48","38.4","5.2","+11"
"41",6,"Foster Moreau",LV,"28","58","42.1","8.9","-6"
"42",6,"Donald Parham Jr.",LAC,"33","54","39.8","5.3","+6"
"43",6,"Jelani Woods",IND,"33","61","43.3","7.5","-13"
"44",6,"John Bates",WAS,"29","60","43.6","9.6","-"
"45",6,"Isaiah Likely",BAL,"32","59","42.3","9.4","+4"
"46",6,"Kylen Granson",IND,"33","69","49.5","8.7","-"
"47",6,"Anthony Firkser",ATL,"35","53","44.6","6.2","-"
"48",6,"Cade Otton",TB,"29","71","50.6","12.2","-12"
"49",7,"Josiah Deguara",GB,"38","59","49.2","6.5","-10"
"50",7,"Pharaoh Brown",HOU,"37","49","43.4","3.6","+2"
"51",7,"Jared Cook",FA,"29","51","38.4","8.6","-6"
"52",7,"Juwan Johnson",NO,"44","87","62.8","13.0","-6"
"53",7,"Ian Thomas",CAR,"44","65","52.0","7.4","-"
"54",7,"Geoff Swaim",TEN,"39","60","45.6","7.6","-1"
"55",7,"Will Dissly",SEA,"40","50","46.0","3.4","-"
"56",7,"Durham Smythe",MIA,"43","55","50.6","4.2","-"
"57",7,"Zach Gentry",PIT,"50","103","64.8","18.0","-"
"58",7,"Jake Ferguson",DAL,"47","70","54.6","8.4","-"
"59",7,"Drew Sample",CIN,"53","63","57.4","3.3","-"
"60",7,"Chigoziem Okonkwo",TEN,"52","65","58.4","5.2","-"
"61",7,"Maxx Williams",ARI,"45","85","60.6","14.2","-"
"62",7,"Brock Wright",DET,"47","83","61.2","13.3","-"
"63",7,"Noah Gray",KC,"56","70","62.0","5.3","-"
"64",7,"James O'Shaughnessy",CHI,"61","96","71.7","11.5","-"
"65",7,"Marcedes Lewis",GB,"58","75","64.6","6.7","-"
"66",7,"Jeremy Ruckert",NYJ,"55","82","68.2","10.9","-"
"67",8,"Nick Boyle",BAL,"64","78","70.2","5.3","-"
"68",8,"Ryan Griffin",CHI,"51","67","58.0","6.8","-"
"69",8,"Jacob Harris",LAR,"62","83","71.6","8.2","-"
"70",8,"Blake Jarwin",FA,"36","53","44.0","7.0","-"
"71",8,"Ross Dwelley",SF,"55","112","74.8","19.8","-"
"72",8,"Mitchell Wilcox",CIN,"61","97","74.8","13.9","-"
"73",8,"Brycen Hopkins",LAR,"65","81","74.8","5.5","-"
"74",8,"Colby Parkinson",SEA,"51","86","75.6","13.1","-"
"75",8,"Miller Forristall",CLE,"67","92","76.4","8.4","-"
"76",8,"Kendall Blanton",WAS,"62","71","66.0","3.7","-"
"77",8,"Jimmy Graham",FA,"40","58","48.7","7.4","-"
"78",8,"Ben Ellefson",MIN,"66","100","82.2","13.0","-"
"79",8,"Blake Bell",KC,"57","108","82.6","19.0","-"
"80",8,"Chris Herndon IV",FA,"41","77","58.3","14.7","-"
"81",8,"Hunter Long",MIA,"58","93","76.0","13.0","-"
"82",8,"Jalen Wydermyer",NE,"49","86","65.3","15.4","-"
"83",8,"Tyree Jackson",PHI,"72","110","87.4","15.5","-"
"84",8,"Chris Manhertz",JAC,"73","112","87.6","14.8","-"
"85",8,"Charlie Woerner",SF,"77","98","88.2","7.0","-"
"86",8,"Parker Hesse",ATL,"62","114","80.8","20.0","-"
"87",8,"Zach Davidson",MIN,"80","109","89.2","10.6","-"
"88",8,"Charlie Kolar",BAL,"55","110","83.0","24.7","-"
"89",8,"Sean McKeon",DAL,"70","90","83.8","8.0","-"
"90",8,"Nick Vannett",NO,"40","96","72.3","23.7","-"
"91",8,"Grant Calcaterra",PHI,"60","80","72.7","9.0","-"
"92",8,"Jack Stoll",PHI,"68","99","84.8","11.6","-"
"93",9,"Eric Ebron",FA,"47","55","51.0","4.0","-"
"94",9,"Tre' McKitty",LAC,"64","89","75.3","10.3","-"
"95",9,"Jordan Akins",NYG,"57","93","77.0","15.0","-"
