"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"1","2","1.4","0.5","+1"
"2",1,"Cooper Kupp",LAR,"1","3","1.7","0.6","-1"
"3",1,"Ja'Marr Chase",CIN,"2","4","3.0","0.5","0"
"4",1,"Davante Adams",LV,"3","7","4.7","0.9","0"
"5",1,"Stefon Diggs",BUF,"3","8","4.9","1.0","0"
"6",2,"CeeDee Lamb",DAL,"4","7","5.5","0.8","+1"
"7",2,"Deebo Samuel",SF,"6","12","8.0","1.6","-1"
"8",2,"Mike Evans",TB,"7","15","9.4","2.1","+1"
"9",2,"Tyreek Hill",MIA,"7","16","9.9","1.9","-1"
"10",2,"A.J. Brown",PHI,"7","17","10.8","2.6","+1"
"11",3,"Tee Higgins",CIN,"8","16","11.7","2.1","+1"
"12",3,"Michael Pittman Jr.",IND,"6","18","11.7","2.2","+1"
"13",3,"Keenan Allen",LAC,"7","18","11.8","2.7","-3"
"14",3,"DJ Moore",CAR,"9","18","13.1","2.4","+1"
"15",3,"Mike Williams",LAC,"12","28","17.1","3.6","+3"
"16",3,"Jaylen Waddle",MIA,"10","25","18.0","2.7","-2"
"17",3,"Diontae Johnson",PIT,"12","26","18.4","3.2","-1"
"18",3,"Courtland Sutton",DEN,"9","31","18.5","5.2","+2"
"19",3,"Terry McLaurin",WAS,"14","32","18.9","3.6","-2"
"20",4,"Brandin Cooks",HOU,"15","30","20.4","3.8","+2"
"21",4,"Allen Robinson II",LAR,"13","35","22.0","4.2","+3"
"22",4,"DK Metcalf",SEA,"17","32","22.8","3.5","-3"
"23",4,"Darnell Mooney",CHI,"18","33","26.1","3.7","+7"
"24",4,"Gabriel Davis",BUF,"15","42","26.3","6.7","+3"
"25",4,"Michael Thomas",NO,"18","39","27.0","4.6","+6"
"26",4,"Marquise Brown",ARI,"15","38","27.3","4.6","-3"
"27",4,"Jerry Jeudy",DEN,"19","39","27.4","4.5","-2"
"28",4,"Amon-Ra St. Brown",DET,"18","41","28.1","5.2","-7"
"29",4,"Rashod Bateman",BAL,"19","40","29.2","5.6","+6"
"30",4,"Chris Godwin",TB,"19","44","29.5","6.9","-2"
"31",4,"JuJu Smith-Schuster",KC,"19","44","29.8","5.3","-2"
"32",5,"Elijah Moore",NYJ,"18","38","30.2","4.2","0"
"33",5,"Amari Cooper",CLE,"21","42","30.3","5.3","-7"
"34",5,"Adam Thielen",MIN,"25","40","33.2","4.0","-1"
"35",5,"Brandon Aiyuk",SF,"23","50","36.3","5.3","+3"
"36",5,"DeVonta Smith",PHI,"28","46","37.1","4.5","+1"
"37",5,"Hunter Renfrow",LV,"24","48","37.5","4.9","-3"
"38",5,"Allen Lazard",GB,"23","50","38.2","5.3","+5"
"39",5,"Drake London",ATL,"27","61","38.4","6.0","+1"
"40",5,"Tyler Lockett",SEA,"31","49","38.7","3.8","-4"
