RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,BYE
1,1,Jonathan Taylor,IND,RB1,1,2,1.2,0.4,14
2,1,Christian McCaffrey,CAR,RB2,1,6,2.3,1.1,13
3,1,Austin Ekeler,LAC,RB3,2,8,4.5,1.7,8
4,2,Dalvin Cook,MIN,RB4,3,9,6,1.7,7
5,2,Justin Jefferson,MIN,WR1,2,10,6,2.9,7
6,2,Cooper Kupp,LAR,WR2,3,11,6.4,2.4,7
7,2,Derrick Henry,TEN,RB5,3,13,7,3.3,6
8,2,Ja'Marr Chase,CIN,WR3,4,15,8.8,2.6,10
9,2,Najee Harris,PIT,RB6,4,17,8.8,3.9,9
10,2,Joe Mixon,CIN,RB7,3,16,9.9,3.1,10
11,3,D'Andre Swift,DET,RB8,6,26,13,4.1,6
12,3,Davante Adams,LV,WR4,9,21,14.1,2.6,6
13,3,Stefon Diggs,BUF,WR5,8,21,14.1,3.3,7
14,3,Travis Kelce,KC,TE1,9,25,14.1,5,8
15,3,CeeDee Lamb,DAL,WR6,10,21,16.1,2.9,9
16,3,Saquon Barkley,NYG,RB9,8,26,16.4,4.1,9
17,3,Aaron Jones,GB,RB10,6,28,16.7,5.3,14
18,3,Alvin Kamara,NO,RB11,6,29,16.1,4.8,14
19,4,Javonte Williams,DEN,RB12,9,31,21.8,6,9
20,4,Nick Chubb,CLE,RB13,12,30,20.7,5,9
21,4,Leonard Fournette,TB,RB14,12,31,20.9,5,11
22,4,Deebo Samuel,SF,WR7,15,30,21.9,3.5,9
23,4,Mark Andrews,BAL,TE2,13,33,22.5,4.3,10
24,4,Mike Evans,TB,WR8,17,37,24.9,4.7,11
25,4,Tyreek Hill,MIA,WR9,19,35,25.2,3.9,11
26,4,A.J. Brown,PHI,WR10,16,39,27.5,5.4,7
27,4,Tee Higgins,CIN,WR11,21,36,28.4,4,10
28,4,Keenan Allen,LAC,WR12,21,48,29.1,6,8
29,4,Michael Pittman Jr.,IND,WR13,19,40,29.3,4.9,14
30,4,James Conner,ARI,RB15,21,47,29.9,5.6,13
31,4,Ezekiel Elliott,DAL,RB16,18,46,31.5,6.5,9
32,5,DJ Moore,CAR,WR14,23,45,32,5.4,13
33,5,Josh Allen,BUF,QB1,23,48,34.9,4.8,7
34,5,Kyle Pitts,ATL,TE3,21,52,35.1,7.5,14
35,5,Breece Hall,NYJ,RB17,27,63,37.7,8.9,10
36,5,Travis Etienne Jr.,JAC,RB18,22,60,38.7,8.9,11
37,5,Cam Akers,LAR,RB19,22,63,40,8.8,7
38,5,Mike Williams,LAC,WR15,28,64,41.1,8.5,8
39,5,David Montgomery,CHI,RB20,29,72,41.2,9.1,14
40,5,Jaylen Waddle,MIA,WR16,31,58,42.8,6.4,11
41,5,Diontae Johnson,PIT,WR17,34,64,43.9,8.2,9
42,5,Terry McLaurin,WAS,WR18,34,59,43.9,6.7,14
43,5,Courtland Sutton,DEN,WR19,23,73,44.6,12.1,9
44,5,Justin Herbert,LAC,QB2,36,61,44.9,6.1,8
45,6,Brandin Cooks,HOU,WR20,36,73,48.4,10.1,6
46,6,J.K. Dobbins,BAL,RB21,34,69,48.8,7.9,10
47,6,AJ Dillon,GB,RB22,36,66,48.9,7.4,14
48,6,Patrick Mahomes II,KC,QB3,39,70,49.8,8.6,8
49,6,Allen Robinson II,LAR,WR21,32,75,52.5,9.8,7
50,6,Elijah Mitchell,SF,RB23,35,87,52.5,11.3,9
51,6,Lamar Jackson,BAL,QB4,38,70,52.6,8.5,10
52,6,DK Metcalf,SEA,WR22,39,78,53.2,9,11
53,6,Darren Waller,LV,TE4,32,72,53.7,8.7,6
54,6,Josh Jacobs,LV,RB24,33,80,53.7,9.4,6
55,6,George Kittle,SF,TE5,45,71,54.8,6.8,9
56,6,Darnell Mooney,CHI,WR23,42,76,59.6,8.5,14
57,6,Gabriel Davis,BUF,WR24,35,101,62.4,14.9,7
58,7,Kyler Murray,ARI,QB5,36,86,65.3,11.8,13
59,7,Michael Thomas,NO,WR25,41,101,66.8,15.2,14
60,7,Jalen Hurts,PHI,QB6,44,85,64.3,9.3,7
61,7,Marquise Brown,ARI,WR26,41,97,66,12.9,13
62,7,Clyde Edwards-Helaire,KC,RB25,52,87,66.4,9,8
63,7,Jerry Jeudy,DEN,WR27,39,88,64.5,12,9
64,7,Dalton Schultz,DAL,TE6,47,93,67.2,10.9,9
65,7,Damien Harris,NE,RB26,44,91,67.6,11.9,10
66,7,Miles Sanders,PHI,RB27,42,90,67.7,11.6,7
67,7,Chase Edmonds,MIA,RB28,42,92,67.8,13,11
68,7,Antonio Gibson,WAS,RB29,41,116,67.9,19.3,14
69,7,Amon-Ra St. Brown,DET,WR28,44,99,68.8,12.9,6
70,7,Rashod Bateman,BAL,WR29,39,103,69,14.8,10
71,7,Chris Godwin,TB,WR30,43,111,73.3,19.1,11
72,7,JuJu Smith-Schuster,KC,WR31,44,106,71.2,14.7,8
73,7,Elijah Moore,NYJ,WR32,38,90,71.9,10.9,10
74,7,Amari Cooper,CLE,WR33,49,106,74.2,14.3,9
75,7,Kareem Hunt,CLE,RB30,52,115,74.9,12.7,9
76,7,Joe Burrow,CIN,QB7,54,100,75,12.4,10
77,7,Rashaad Penny,SEA,RB31,42,92,75.2,13.3,11
78,7,Tony Pollard,DAL,RB32,53,92,75.7,10.4,9
79,7,Rhamondre Stevenson,NE,RB33,47,100,77.2,13.1,10
80,7,Dallas Goedert,PHI,TE7,54,104,78.5,10.5,7
81,7,Adam Thielen,MIN,WR34,58,106,80.8,12.8,7
82,7,T.J. Hockenson,DET,TE8,55,99,81.1,10.2,6
