"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Justin Tucker",BAL,"1","11","1.8","1.7","0"
"2",1,"Tyler Bass",BUF,"1","8","3.4","1.8","+3"
"3",1,"Evan McPherson",CIN,"1","24","4.5","4.1","-1"
"4",1,"Matt Gay",LAR,"1","12","4.6","2.3","+2"
"5",2,"Daniel Carlson",LV,"1","18","5.9","3.3","-2"
"6",2,"Harrison Butker",KC,"1","29","6.5","4.1","-2"
"7",2,"Matt Prater",ARI,"5","20","9.3","2.8","0"
"8",2,"Ryan Succop",TB,"4","30","8.8","4.6","0"
"9",3,"Nick Folk",NE,"3","25","10.9","4.5","0"
"10",3,"Rodrigo Blankenship",IND,"3","21","11.7","3.8","+7"
"11",3,"Brandon McManus",DEN,"5","23","12.4","3.8","+1"
"12",3,"Jason Sanders",MIA,"5","25","12.9","4.5","+8"
"13",3,"Dustin Hopkins",LAC,"3","25","13.6","4.3","+3"
"14",3,"Robbie Gould",SF,"6","26","14.2","4.3","0"
"15",3,"Younghoe Koo",ATL,"4","30","14.2","6.1","-4"
"16",3,"Jake Elliott",PHI,"8","26","14.7","3.5","+3"
"17",3,"Wil Lutz",NO,"8","27","17.3","4.0","-4"
"18",4,"Chris Boswell",PIT,"9","29","18.1","3.6","-3"
"19",4,"Greg Joseph",MIN,"5","27","17.6","6.7","-9"
"20",4,"Mason Crosby",GB,"11","28","18.4","3.2","+4"
"21",4,"Greg Zuerlein",NYJ,"3","30","18.9","6.6","+1"
"22",4,"Graham Gano",NYG,"12","28","21.6","3.1","-1"
"23",4,"Randy Bullock",TEN,"13","30","22.4","3.7","+3"
"24",4,"Jason Myers",SEA,"12","32","23.5","4.7","+4"
"25",4,"Cairo Santos",CHI,"15","32","25.0","3.2","+2"
"26",4,"Ka'imi Fairbairn",HOU,"19","32","26.0","3.0","-"
"27",5,"Cade York",CLE,"16","34","23.8","4.8","-9"
"28",5,"Joey Slye",WAS,"17","33","26.7","4.3","-3"
"29",5,"Brett Maher",DAL,"13","35","21.8","5.5","-"
"30",5,"Zane Gonzalez",CAR,"23","37","28.5","3.6","-"
"31",5,"Riley Patterson",DET,"19","36","28.7","4.9","-"
"32",5,"Chase McLaughlin",FA,"22","29","26.7","1.9","-"
"33",5,"Jonathan Garibay",FA,"15","34","26.0","5.3","-10"
"34",5,"Josh Lambo",FA,"21","32","27.1","2.6","-"
"35",5,"Ryan Santoso",FA,"27","38","30.4","2.5","-"
"36",5,"Austin Seibert",DET,"23","35","30.3","3.0","-"
"37",6,"Carlos Martinez",DAL,"10","31","20.5","10.5","-"
"38",6,"Tristan Vizcaino",NE,"29","46","34.0","6.2","-"
"39",6,"Quinn Nordin",FA,"27","40","32.3","4.8","-"
"40",6,"Andrew Wellock",CAR,"25","32","28.5","3.5","-"
"41",6,"Andrew Jacas",SF,"28","30","29.0","1.0","-"
"42",6,"Eddy Pineiro",FA,"25","38","33.0","5.7","-"
"43",6,"James McCourt",JAC,"32","44","36.3","5.4","-"
"44",6,"Lirim Hajrullahu",FA,"33","37","35.0","2.0","-12"
"45",6,"Chris Naggar",FA,"36","37","36.5","0.5","-"
