"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"1","2","1.1","0.3","0"
"2",1,"Justin Herbert",LAC,"1","6","2.7","0.9","+1"
"3",1,"Patrick Mahomes II",KC,"2","6","3.3","1.1","-1"
"4",2,"Lamar Jackson",BAL,"2","9","4.5","1.5","0"
"5",2,"Kyler Murray",ARI,"2","9","5.5","1.9","0"
"6",2,"Jalen Hurts",PHI,"3","12","5.9","1.8","+1"
"7",2,"Joe Burrow",CIN,"3","11","7.3","1.9","-1"
"8",3,"Tom Brady",TB,"5","13","9.4","2.3","+1"
"9",3,"Dak Prescott",DAL,"6","13","9.5","1.9","-1"
"10",3,"Russell Wilson",DEN,"6","14","9.7","1.7","+1"
"11",3,"Trey Lance",SF,"5","18","10.8","3.2","+2"
"12",3,"Matthew Stafford",LAR,"6","15","11.3","1.9","0"
"13",3,"Aaron Rodgers",GB,"8","16","12.3","2.0","-3"
"14",3,"Kirk Cousins",MIN,"10","15","13.9","1.4","+1"
"15",3,"Derek Carr",LV,"9","19","14.1","1.9","-1"
"16",4,"Tua Tagovailoa",MIA,"15","23","17.4","2.0","0"
"17",4,"Justin Fields",CHI,"10","24","17.6","2.7","0"
"18",4,"Trevor Lawrence",JAC,"14","24","18.4","2.0","+1"
"19",4,"Matt Ryan",IND,"16","25","19.9","2.1","+2"
"20",4,"Jameis Winston",NO,"16","26","20.4","2.6","+3"
"21",4,"Ryan Tannehill",TEN,"16","28","21.3","3.4","-3"
"22",4,"Mac Jones",NE,"17","27","22.5","2.4","-2"
"23",4,"Daniel Jones",NYG,"19","29","23.2","2.6","+4"
"24",4,"Carson Wentz",WAS,"19","28","24.3","2.6","0"
"25",4,"Jared Goff",DET,"20","30","25.2","2.7","+1"
"26",4,"Zach Wilson",NYJ,"21","30","25.3","2.6","+2"
"27",4,"Davis Mills",HOU,"17","31","26.3","3.0","+3"
"28",5,"Baker Mayfield",CAR,"21","32","26.9","2.7","-3"
